model,attack_cat,n,detected,missed,recall
Dummy,Analysis,677,677,0,1.0
Dummy,Backdoor,583,583,0,1.0
Dummy,DoS,4089,4089,0,1.0
Dummy,Exploits,11132,11132,0,1.0
Dummy,Fuzzers,6062,6062,0,1.0
Dummy,Generic,18871,18871,0,1.0
Dummy,Reconnaissance,3496,3496,0,1.0
Dummy,Shellcode,378,378,0,1.0
Dummy,Worms,44,44,0,1.0
RandomForest,Analysis,677,677,0,1.0
RandomForest,Backdoor,583,583,0,1.0
RandomForest,DoS,4089,4086,3,0.9992663242846662
RandomForest,Exploits,11132,11091,41,0.9963169241825368
RandomForest,Fuzzers,6062,5519,543,0.9104256021115144
RandomForest,Generic,18871,18870,1,0.9999470086375921
RandomForest,Reconnaissance,3496,3496,0,1.0
RandomForest,Shellcode,378,376,2,0.9947089947089947
RandomForest,Worms,44,44,0,1.0
XGBoost,Analysis,677,664,13,0.9807976366322009
XGBoost,Backdoor,583,583,0,1.0
XGBoost,DoS,4089,4084,5,0.9987772071411103
XGBoost,Exploits,11132,11074,58,0.9947897951850521
XGBoost,Fuzzers,6062,5397,665,0.8903002309468823
XGBoost,Generic,18871,18870,1,0.9999470086375921
XGBoost,Reconnaissance,3496,3494,2,0.9994279176201373
XGBoost,Shellcode,378,375,3,0.9920634920634921
XGBoost,Worms,44,44,0,1.0
SVM,Analysis,677,637,40,0.9409158050221565
SVM,Backdoor,583,581,2,0.9965694682675815
SVM,DoS,4089,4047,42,0.9897285399853265
SVM,Exploits,11132,10882,250,0.9775422206252246
SVM,Fuzzers,6062,5765,297,0.9510062685582316
SVM,Generic,18871,18842,29,0.9984632504901702
SVM,Reconnaissance,3496,3488,8,0.9977116704805492
SVM,Shellcode,378,377,1,0.9973544973544973
SVM,Worms,44,44,0,1.0
MLP,Analysis,677,676,1,0.9985228951255539
MLP,Backdoor,583,583,0,1.0
MLP,DoS,4089,4072,17,0.995842504279775
MLP,Exploits,11132,11044,88,0.9920948616600791
MLP,Fuzzers,6062,4842,1220,0.7987462883536787
MLP,Generic,18871,18861,10,0.9994700863759207
MLP,Reconnaissance,3496,3483,13,0.9962814645308925
MLP,Shellcode,378,371,7,0.9814814814814815
MLP,Worms,44,43,1,0.9772727272727273
