model,metric,bootstrap_mean,ci_lower,ci_upper,valid_bootstrap_samples
Dummy,f1,0.7101771732495082,0.7072598868929053,0.7129491398244476,1500
Dummy,roc_auc,0.5,0.5,0.5,1500
Dummy,pr_auc,0.5506025441707558,0.5471013700626731,0.5539401447796726,1500
Dummy,mcc,0.0,0.0,0.0,1500
Dummy,recall_detection_rate,1.0,1.0,1.0,1500
Dummy,false_positive_rate,1.0,1.0,1.0,1500
RandomForest,f1,0.8906976483802351,0.8886563016744953,0.8928042476734225,1500
RandomForest,roc_auc,0.9803968379415697,0.9797460110858391,0.9811042117227567,1500
RandomForest,pr_auc,0.9849249026648962,0.9843553985406645,0.9855119131863319,1500
RandomForest,mcc,0.7468171505015712,0.7428514381592534,0.7508065976721062,1500
RandomForest,recall_detection_rate,0.9869695259302335,0.9859330477013873,0.9881150531546833,1500
RandomForest,false_positive_rate,0.28081568775575505,0.2761688523851022,0.28521112852360336,1500
XGBoost,f1,0.8943216649888807,0.8923805720021395,0.8963058313560075,1500
XGBoost,roc_auc,0.9837389575387119,0.983138743801681,0.9843263171482206,1500
XGBoost,pr_auc,0.9880931645858361,0.9876397653016219,0.9885308790595769,1500
XGBoost,mcc,0.7551690368268237,0.7513516627241039,0.7591610695683019,1500
XGBoost,recall_detection_rate,0.9835055187117661,0.9823195973692179,0.984658084967103,1500
XGBoost,false_positive_rate,0.2645657721399708,0.26017203469159156,0.26884821812168946,1500
SVM,f1,0.8525466318052917,0.8502356987764036,0.8547512345324579,1500
SVM,roc_auc,0.9542969896523498,0.9530660097117546,0.9555221385094288,1500
SVM,pr_auc,0.9646870734743417,0.9633069296221276,0.9660422457189043,1500
SVM,mcc,0.6503777324509207,0.6460277239721223,0.6548160753864756,1500
SVM,recall_detection_rate,0.9852179123457417,0.984140031878388,0.9862763322718311,1500
SVM,false_positive_rate,0.39943257686911604,0.39441322408982227,0.40436333169873623,1500
MLP,f1,0.8893597991322424,0.8873312860411895,0.8913909263784194,1500
MLP,roc_auc,0.9747383788111164,0.973934523655858,0.9755764028720675,1500
MLP,pr_auc,0.9811819337445189,0.9805190868674408,0.9818197175552799,1500
MLP,mcc,0.7417941593211911,0.7375548068702569,0.7459916839175359,1500
MLP,recall_detection_rate,0.9700693668536017,0.9684948350482149,0.9716138650566082,1500
MLP,false_positive_rate,0.25904223711721913,0.2546932295675229,0.2633133434153094,1500
