n_clusters,noise_fraction,non_noise_n,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,algorithm,configuration,eps,eps_quantile,min_samples
100,0.15726666666666667,12641,-0.10267600974725184,0.9543440829144827,388.1876734965442,0.2407995561297199,0.26873462917597934,DBSCAN,"eps=0.757258, min_samples=5",0.7572581491513877,0.8,5
78,0.11746666666666666,13238,-0.10760536447902953,0.8952612793420627,479.2980183052146,0.26176078055119373,0.2883415947484236,DBSCAN,"eps=0.910407, min_samples=5",0.9104069546938836,0.85,5
60,0.06886666666666667,13967,0.04105503511563484,0.9114477093111492,620.109179554226,0.27519186085474234,0.30155663217681383,DBSCAN,"eps=1.103356, min_samples=5",1.103355993002498,0.9,5
38,0.03426666666666667,14486,0.06483183602910524,0.7271925589281909,738.1252203739691,0.2114558185822464,0.2308989729488911,DBSCAN,"eps=1.480680, min_samples=5",1.4806799831246324,0.95,5
37,0.14853333333333332,12772,-0.0032167405422386286,0.939244858708929,931.8128397719067,0.2623186454666516,0.29614776125595793,DBSCAN,"eps=0.956001, min_samples=10",0.9560011523575428,0.8,10
32,0.10426666666666666,13436,0.11960740492906072,0.9759116205640346,1093.9839509416781,0.27631255340458993,0.3032358868677834,DBSCAN,"eps=1.129930, min_samples=10",1.1299296557506033,0.85,10
24,0.06113333333333333,14083,0.12774573050330967,0.9174693803668781,1140.4767689094913,0.19377410219467966,0.220242654933803,DBSCAN,"eps=1.378696, min_samples=10",1.378695887598581,0.9,10
13,0.0318,14523,0.2543767995547277,0.7166903121307145,1444.6671772264765,0.1274112090951476,0.11079016316309713,DBSCAN,"eps=1.834593, min_samples=10",1.834593378327094,0.95,10
23,0.13426666666666667,12986,0.11018086787478683,0.9821723925780573,1467.4720020657994,0.27391075250976255,0.3064733416633284,DBSCAN,"eps=1.180793, min_samples=20",1.180792547388705,0.8,20
19,0.0914,13629,0.11145289592800482,1.0393922934895374,1441.0906497048368,0.1912979401181639,0.2135089134946618,DBSCAN,"eps=1.391592, min_samples=20",1.39159168971468,0.85,20
17,0.050666666666666665,14240,0.176353364762442,0.8600948251035453,1554.0842028193445,0.21100952591535943,0.23034617578113747,DBSCAN,"eps=1.671541, min_samples=20",1.6715413651063245,0.9,20
12,0.029066666666666668,14564,0.23753437129716795,0.7622183284967226,1550.3074267422883,0.1270458226261656,0.10994212877619729,DBSCAN,"eps=2.216211, min_samples=20",2.2162113672744916,0.95,20
