column,dtype,n_unique_train,missing_train
id,int64,175341,0
dur,float64,74039,0
proto,str,133,0
service,str,13,0
state,str,9,0
spkts,int64,480,0
dpkts,int64,443,0
sbytes,int64,7214,0
dbytes,int64,6660,0
rate,float64,76991,0
sttl,int64,11,0
dttl,int64,6,0
sload,float64,80885,0
dload,float64,77474,0
sloss,int64,409,0
dloss,int64,370,0
sinpkt,float64,76161,0
dinpkt,float64,74245,0
sjit,float64,77532,0
djit,float64,76831,0
swin,int64,13,0
stcpb,int64,75265,0
dtcpb,int64,75089,0
dwin,int64,7,0
tcprtt,float64,43319,0
synack,float64,40142,0
ackdat,float64,37708,0
smean,int64,1357,0
dmean,int64,1328,0
trans_depth,int64,11,0
response_body_len,int64,2386,0
ct_srv_src,int64,52,0
ct_state_ttl,int64,5,0
ct_dst_ltm,int64,50,0
ct_src_dport_ltm,int64,47,0
ct_dst_sport_ltm,int64,32,0
ct_dst_src_ltm,int64,54,0
is_ftp_login,int64,4,0
ct_ftp_cmd,int64,4,0
ct_flw_http_mthd,int64,11,0
ct_src_ltm,int64,50,0
ct_srv_dst,int64,52,0
is_sm_ips_ports,int64,2,0
attack_cat,str,10,0
label,int64,2,0
